izvirno_ime;iskalno_ime;geonames_ime;drzava;country_code;lat;lon;geonames_id;status;opomba
Bukov žlak;Bukovo;Bukovo;Severna Makedonija;MK;40.99435;21.33228;792135.0;ročno potrjeno;Bukovo, Bitola, Severna Makedonija
Dolga vas;Dolga vas;Dolga vas;Slovenija;SI;46.58778;16.44167;3201808.0;ročno potrjeno;Dolga vas, Občina Lendava, Slovenija
Doljni Banat;Banat;Banat;Romunija;RO;45.5;21.75;685492.0;ročno potrjeno;Banat, Romunija
Dravska dolina;Drava;;;;;;;ni razrešeno;noben kandidat ni bil pravilen
Fokovce;Fokovci;Fokovci;Slovenija;SI;46.73333;16.26667;3200826.0;ročno potrjeno;Fokovci, Občina Moravske Toplice, Slovenija
Gaberje pri Celju;Gaberje;Gabrje;Slovenija;SI;46.07027;14.40902;3200794.0;ročno potrjeno;Gabrje, Občina Dobrova - Polhov Gradec, Slovenija
Gerezzago;Italija;Italija;Italija;IT;42.83333;12.83333;3175395.0;ročno potrjeno;Italija, Italija
Gornja Bavarska;Bavarska;München;Nemčija;DE;48.13743;11.57549;2867714.0;ročno potrjeno;München, Upper Bavaria, Bavarska, Nemčija
Gornja sv. Kungota;Kungota;Zgornja Kungota;Slovenija;SI;46.63867;15.61489;3186538.0;ročno potrjeno;Zgornja Kungota, Občina Kungota, Slovenija
Griže pri Žalcu;Griže;Griže;Slovenija;SI;46.22944;15.15056;3199558.0;ročno potrjeno;Griže, Občina Žalec, Slovenija
Harmansdorf pri Gradcu;Avstrija;Avstrija;Avstrija;AT;47.33333;13.33333;2782113.0;ročno potrjeno;Avstrija, Avstrija
Hoče;Hoče;Občina Hoče - Slivnica;Slovenija;SI;46.49114;15.62378;3344920.0;ročno potrjeno;Občina Hoče - Slivnica, Občina Hoče - Slivnica, Slovenija
Idrija;Idrija;Idrija;Slovenija;SI;46.00295;14.02787;3199171.0;ročno potrjeno;Idrija, Občina Idrija, Slovenija
Javornik;Javornik;Slovenski Javornik;Slovenija;SI;46.42611;14.08722;3217860.0;ročno potrjeno;Slovenski Javornik, Občina Jesenice, Slovenija
Kamna Gorica;Kamna Gorica;Kamna Gorica;Slovenija;SI;46.31667;14.2;3198368.0;ročno potrjeno;Kamna Gorica, Občina Radovljica, Slovenija
Kamnje na Primorskem;Kamnje;Kamnje;Slovenija;SI;45.89972;13.83333;3198359.0;ročno potrjeno;Kamnje, Občina Ajdovščina, Slovenija
